class,count
http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,24772
http://schema.org/Organization,3393
http://schema.org/Periodical,4127
http://schema.org/Person,1464548
http://schema.org/PublicationIssue,144252
http://schema.org/PublicationVolume,60488
http://schema.org/ScholarlyArticle,424982
