descriptor,ui,label
http://id.nlm.nih.gov/mesh/D059010,D059010,Single-Cell Analysis
http://id.nlm.nih.gov/mesh/D000092386,D000092386,Single-Cell Gene Expression Analysis
http://id.nlm.nih.gov/mesh/D000081246,D000081246,RNA-Seq
http://id.nlm.nih.gov/mesh/D066251,D066251,Subtractive Hybridization Techniques
http://id.nlm.nih.gov/mesh/D055432,D055432,Metabolomics
http://id.nlm.nih.gov/mesh/D000081362,D000081362,Lipidomics
http://id.nlm.nih.gov/mesh/D040901,D040901,Proteomics
http://id.nlm.nih.gov/mesh/D000071696,D000071696,Proteogenomics
