class,count
http://schema.org/Organization,913
http://schema.org/Periodical,2896
http://schema.org/Person,300130
http://schema.org/PublicationIssue,36532
http://schema.org/PublicationVolume,22868
http://schema.org/ScholarlyArticle,68623
