class,count
http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,29716
http://schema.org/Organization,24213
http://schema.org/Periodical,13962
http://schema.org/Person,8706646
http://schema.org/PublicationIssue,1288160
http://schema.org/PublicationVolume,343800
http://schema.org/ScholarlyArticle,8780250
